aphia_id,scientific_name,weight,rank
883,Polychaeta,884.0,Class
2,Animalia,643.0,Kingdom
845959,Multicrustacea,604.0,Superclass
1086,Eumalacostraca,592.2,Subclass
1090,Peracarida,570.0,Superorder
1071,Malacostraca,568.0,Class
892,Phyllodocida,498.0,Order
754175,Sedentaria,491.40000000000003,Subclass
882,Annelida,464.0,Phylum
754174,Errantia,407.40000000000003,Subclass
1135,Amphipoda,396.0,Order
154974,Canalipalpata,352.59999999999997,Infraclass
1066,Crustacea,336.6,Subphylum
1065,Arthropoda,316.0,Phylum
106670,Pleocyemata,279.0,Suborder
1089,Eucarida,276.0,Superorder
1130,Decapoda,276.0,Order
105,Bivalvia,272.0,Class
1424948,Autobranchia,256.2,Subclass
900,Terebellida,252.0,Order
869600,Imparidentia,246.0,Superorder
51,Mollusca,226.0,Phylum
1055678,Amphilochidea,217.0,Suborder
913,Spionidae,200.0,Family
1424949,Heteroconchia,197.79999999999998,Infraclass
382296,Euheterodonta,189.0,Subterclass
719424,Senticaudata,186.0,Suborder
110722,Cheilostomatida,186.0,Order
909,Spioniformia,167.4,Suborder
152292,Terebelliformia,167.4,Suborder
1795,Gymnolaemata,164.0,Class
889,Spionida,162.0,Order
928,Nereidiformia,161.20000000000002,Suborder
153575,Flustrina,161.20000000000002,Suborder
101,Gastropoda,156.0,Class
927,Aphroditiformia,155.0,Suborder
183607,Scolecida,146.2,Infraclass
1055690,Lysianassida,132.29999999999998,Infraorder
931,Phyllodocidae,128.0,Family
13552,Leptothecata,120.0,Order
948,Syllidae,120.0,Family
719474,Corophiida,119.7,Infraorder
939,Polynoidae,112.0,Family
106673,Brachyura,100.8,Infraorder
926,Phyllodociformia,99.2,Suborder
19494,Hydroidolina,96.60000000000001,Subclass
919,Cirratulidae,96.0,Family
146142,Bryozoa,96.0,Phylum
1337,Hydrozoa,96.0,Class
982,Terebellidae,96.0,Family
